线路名称,线路类型,运行时间,参考票价,公交公司,最后更新,公交路线-往
南京1路公交车路线,[江南线路(1-399)],南堡公园 05:00-23:00|建康路·夫子庙05:10-23:00,2元（IC卡通用）,南京公交集团第一客运公司,2024-03-28,南堡公园---金陵六村---燕江路---燕江路东---上元门---上元门地铁站---白云新寓---五塘村---五佰村路---干休所---河路道---中央门北---中央门南---许府巷---玄武湖隧道---玄武湖公园---玄武门地铁站南---中央路·鼓楼---鼓楼医院---中山路·珠江路北---中山路·珠江路南---新街口东---大行宫西---杨公井---太平南路·常府街---...---27太平南路·夫子庙---太平南路·白下路---太平南路·夫子庙
南京2路公交车路线,[江南线路(1-399)],中华门地铁站 05:00-22:00|墨香路总站 05:55-22:45,2元（IC卡通用）,南京公交集团第四客运公司,2024-03-28,墨香路总站---樱铁村---玄武大道·长途东站---新庄广场东---新庄广场南---锁金村---龙蟠路·岗子村---太平门---北京东路·九华山---太平北路·鸡鸣寺---四牌楼---大行宫北---网巾市---青石街---羊皮巷---内桥---内桥南---中华路·三山街---中华路·瞻园路---中华门城堡---大报恩寺遗址公园(建初寺)---中华门地铁站
南京3路环线公交车路线,[江南线路(1-399)],随家仓 05:00-22:30,空调车2元（无人售票，IC卡通用）,南京公交集团第四客运公司,2024-03-28,随家仓---南阴阳营---山阴路---西康路---玉泉路---莫干路---江苏路---傅佐路---湖南路---中央路·鼓楼---北京东路·进香河路---太平北路·鸡鸣寺---四牌楼---大行宫北---南京图书馆---新街口东---新街口西---大锏银巷---五台山---永庆巷---拉萨路---脑科医院---随家仓
南京4路公交车路线,[江南线路(1-399)],银城东苑05:30-23:00|新街口西05:40-23:30,空调车2元（无人售票，IC卡通用）,南京公交集团第二客运公司,2024-03-28,银城东苑---东苑北---钟山花园城---后标营路·童卫路---富丽山庄北(南京郑和外校)---月牙湖---外五龙桥东---标营---光华门北---光华门---大光路---通济门(东)---建康路·大中桥---长白街---白下路---中山南路·升州路---评事街---水西门---莫愁路·朝天宫---莫愁路北---新街口西
南京5路公交车路线,[江南线路(1-399)],南湾营05:00-22:20|长江路·估衣廊05:40-23:00,空调车2元（无人售票，IC卡通用）,南京公交集团第二客运公司,2024-03-28,南湾营---文康苑---融康苑---宁康苑---百水芊城---百水芊城北门---马群---钟山学院---五棵松---顾家营---柳营---钟灵街---大栅门---孝陵卫---理工大---小卫街---卫岗---卫桥---中山门---明故宫东---明故宫西---西安门---中山东路·逸仙桥---大行宫东---新街口东---...---26长江路·估衣廊---长江路·估衣廊
南京6路公交车路线,[江南线路(1-399)],万寿停车场 04:50-22:20|清凉山公园 05:40-23:10,空调车2元（无人售票，IC卡通用）,南京公交集团第一客运公司,2024-03-28,万寿停车场---墨香路北---万寿村---合作村---小营村---墨香路---经五立交---樱驼花园---樱花路---蒋王庙---樱驼村---板仓街·花园路---钟麓花园---板仓村---板仓街·岗子村---富贵山---后宰门---马标---珠江路·小营---浮桥---浮桥西---莲花桥---广州路·中山路---儿童医院---随家仓---...---28清凉山公园---脑科医院---省人民医院---清凉山公园
南京7路公交车路线,[江南线路(1-399)],瑞金路 05:00-22:25|宜悦街 05:50-23:15,空调车2元（无人售票，IC卡通用）,南京公交集团第二客运公司,2024-03-28,瑞金路---解放南路---大光路北---大光路---通济门(东)---白下路·大中桥---白下路---中山南路·升州路---评事街---水西门---莫愁湖公园南门---水西门大街·大士茶亭---茶亭东街---江东门纪念馆---水西门大街·江东门---江东万达广场---江东中路·集庆门大街---江东中路·应天大街---江东中路·月安街---江东中路·兴隆大街---兴隆大街·燕山路---清竹园南门---兴隆大街·华山路---乐山路·梦都大街---金陵图书馆---...---35宜悦街---奥体中心西门---乐山路·富春江西街---乐山路·楠溪江西街---乐山路·河西大街---乐山路·白龙江西街---乐山路·仁恒江湾城---乐山路·金沙江西街---青年文化中心东门---国际青年文化中心---宜悦街
南京8路公交车路线,[江南线路(1-399)],燕子矶公园 05:00-22:10|傅佐路 05:30-23:00,2元（无人售票，IC卡通用）,南京公交集团第一客运公司,2024-03-28,燕子矶公园---门坡---化工新村东---燕子矶地铁站---胜利村---吉祥庵地铁站---城市绿洲---晓庄地铁站北---晓庄---和燕路·青城路---南砖新村---和燕路·迈皋桥---东井村---红山站---东井亭---安怀村东---安怀村---中央门北---中央门南---许府巷---玄武湖隧道---玄武湖公园---湖南路---傅佐路
南京9路公交车路线,[江南线路(1-399)],宁工新寓 05:30-21:20|总统府 06:10-22:00,空调车2元（无人售票，IC卡通用）,南京公交集团第三客运公司,2024-03-28,宁工新寓---中保村南---银城街---漓江路---江东北路·清凉门大街---江东北路·东宝路---江东北路·汉中门大街---裕华名居---康怡花园---汉中门大街·嫩江路---莫愁新寓---汉中门大街东---汉中路·汉中门---汉中路·莫愁路---新街口西---新街口东---南京图书馆---总统府
南京10路公交车路线,[江南线路(1-399)],江边路总站 05:00-22:00|墨香路总站 05:45-22:35,空调车2元（无人售票，IC卡通用）,南京公交集团第四客运公司,2024-03-28,江边路总站---公共路中---静海寺纪念馆---兴中门---大桥饭店---长江大酒店---金海市场---民生街---城河村---金桥市场---中央门东---龙蟠路·南京站西---龙蟠路·南京站东---新庄广场西---新庄广场南---锁金村---板仓街·岗子村---板仓村---钟麓花园---花园路南---花园路·南林东路---玄武大道·长途东站---樱铁村---墨香路总站
南京11路公交车路线,[江南线路(1-399)],龙江新城市广场 05:00-23:00|燕江新城总站 05:00-23:00,空调车2元（无人售票，IC卡通用）,南京公交集团第四客运公司,2024-03-28,燕江新城总站---神农路·壮举路---神农路·燕城大道---神农路桥---燕城大道·寅春西路---墨香路北---万寿村---合作村---小营村---墨香路---经五立交---樱驼花园---樱花路---蒋王庙---樱驼村---板仓街·花园路---钟麓花园---板仓村---板仓街·岗子村---太平门---北京东路·九华山---和平公园---北京东路·鸡鸣寺---北京东路·鼓楼---鼓楼公园---...---32龙江新城市广场---北京西路·云南路---玉泉路---江苏省委---北京西路·草场门---草场门大桥东---龙江小区---龙江新城市广场
南京12路公交车路线,[江南线路(1-399)],旭日景城总站 06:10-22:30|唐山路总站 05:30-22:00,空调车2元（无人售票，IC卡通用）,南京公交集团第四客运公司,2024-03-28,旭日景城总站---旭日景城---五塘村东---白云新寓---上元门地铁站---上元门---燕江路东---燕江路---金陵六村---南堡公园西---宝塔桥---方家营---方家营路·水关桥---晓街---大桥饭店---兴中门---静海寺纪念馆---热河路---热河南路---南医大二附院---白云亭---白云亭西---唐山路总站
南京13路公交车路线,[江南线路(1-399)],南湖 05:00-22:15|南京站·南广场西 05:45-23:10,空调车2元（无人售票，IC卡通用）,南京公交集团第三客运公司,2024-03-28,南湖(总站)---南湖路·沿河村---东升村(省第二中医院)---南湖集贸市场---彩虹苑---集庆门大桥西---凤台路·水西门---虎踞南路·水西门---虎踞南路·建邺路---虎踞南路·汉中门---汉中路·汉中门---大锏银巷---五台山---五台山北---上海路·北京西路---云南路·大方巷---山西路---中山北路·虹桥---新模范马路·虹桥---和会街---三牌楼大街北---福建路---新门口---钟阜路(市第二医院)---黑龙江路---...---28南京站·南广场西---黑龙江路东---中央门东---南京站·南广场西
